Player,Nation,Pos,Squad,Age,MP,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%,Season
Oliver Baumann,de GER,GK,Hoffenheim,28,33,2970,33,51,1.55,166,116,72.9,5,15.2,6,6,0,0,0,18/19
Fabian Bredlow,de GER,GK,Nürnberg,23,14,1127,12.5,28,2.24,61,32,54.1,2,16.7,2,0,1,1,100,18/19
Roman Bürki,ch SUI,GK,Dortmund,27,32,2880,32,40,1.25,128,88,71.9,10,31.3,4,4,0,0,0,18/19
Koen Casteels,be BEL,GK,Wolfsburg,26,26,2295,25.5,39,1.53,119,79,70.6,8,30.8,5,4,1,0,20,18/19
Michael Esser,de GER,GK,Hannover 96,30,32,2880,32,66,2.06,214,148,71.5,5,15.6,6,5,1,0,16.7,18/19
Ralf Fährmann,de GER,GK,Schalke 04,29,17,1469,16.3,26,1.59,83,58,71.1,3,18.8,2,2,0,0,0,18/19
Péter Gulácsi,hu HUN,GK,RB Leipzig,28,33,2925,32.5,27,0.83,117,91,80.3,15,45.5,5,4,0,1,0,18/19
Lukáš Hrádecký,fi FIN,GK,Leverkusen,28,32,2880,32,47,1.47,127,81,65.4,9,28.1,4,3,1,0,25,18/19
Rune Jarstein,no NOR,GK,Hertha BSC,33,31,2745,30.5,48,1.57,143,96,67.8,8,25.8,4,2,1,1,33.3,18/19
Gregor Kobel,ch SUI,GK,Augsburg,20,16,1390,15.4,42,2.72,93,51,55.9,3,18.8,2,1,1,0,50,18/19
Andreas Luthe,de GER,GK,Augsburg,31,15,1310,14.6,22,1.51,78,57,71.8,2,14.3,0,0,0,0,0,18/19
Christian Mathenia,de GER,GK,Nürnberg,26,22,1933,21.5,40,1.86,118,80,67.8,2,9.1,2,2,0,0,0,18/19
Florian Müller,de GER,GK,Mainz 05,20,24,2160,24,43,1.79,124,81,67.7,5,20.8,4,3,0,1,0,18/19
Manuel Neuer,de GER,GK,Bayern Munich,32,26,2303,25.6,23,0.9,56,34,64.3,10,38.5,3,3,0,0,0,18/19
Alexander Nübel,de GER,GK,Schalke 04,21,18,1588,17.6,29,1.64,83,53,68.7,4,22.2,4,3,1,0,25,18/19
Jiří Pavlenka,cz CZE,GK,Werder Bremen,26,34,2978,33.1,47,1.42,153,106,71.2,5,14.7,4,3,0,1,0,18/19
Pavao Pervan,at AUT,GK,Wolfsburg,30,10,765,8.5,11,1.29,40,29,72.5,1,12.5,1,0,0,1,0,18/19
Michael Rensing,de GER,GK,Düsseldorf,34,32,2880,32,62,1.94,170,108,67.6,5,15.6,7,7,0,0,0,18/19
Alexander Schwolow,de GER,GK,Freiburg,26,33,2970,33,60,1.82,170,110,68.8,5,15.2,7,7,0,0,0,18/19
Yann Sommer,ch SUI,GK,M'Gladbach,29,34,3060,34,42,1.24,156,114,75,13,38.2,3,3,0,0,0,18/19
Kevin Trapp,de GER,GK,Eint Frankfurt,28,33,2938,32.6,48,1.47,158,111,70.3,8,24.2,1,1,0,0,0,18/19
Sven Ulreich,de GER,GK,Bayern Munich,29,9,757,8.4,9,1.07,23,14,69.6,2,25,3,2,0,1,0,18/19
Robin Zentner,de GER,GK,Mainz 05,23,10,900,10,14,1.4,49,35,71.4,2,20,0,0,0,0,0,18/19
Ron-Robert Zieler,de GER,GK,Stuttgart,29,34,3060,34,70,2.06,179,113,62,6,17.6,3,2,0,1,0,18/19
Oliver Baumann,de GER,GK,Hoffenheim,29,30,2700,30,49,1.63,146,97,69.9,7,23.3,7,5,2,0,28.6,19/20
Roman Bürki,ch SUI,GK,Dortmund,28,31,2770,30.8,40,1.3,95,58,61.1,12,38.7,3,3,0,0,0,19/20
Koen Casteels,be BEL,GK,Wolfsburg,27,26,2340,26,38,1.46,105,67,67.6,5,19.2,4,4,0,0,0,19/20
Mark Flekken,nl NED,GK,Freiburg,26,10,900,10,14,1.4,69,55,79.7,3,30,1,0,0,1,0,19/20
Rafał Gikiewicz,pl POL,GK,Union Berlin,31,33,2970,33,54,1.64,159,105,67.9,8,24.2,4,3,1,0,25,19/20
Péter Gulácsi,hu HUN,GK,RB Leipzig,29,32,2880,32,34,1.06,116,82,72.4,10,31.3,2,2,0,0,0,19/20
Timo Horn,de GER,GK,Köln,26,34,3060,34,69,2.03,156,87,58.3,6,17.6,6,4,2,0,33.3,19/20
Lukáš Hrádecký,fi FIN,GK,Leverkusen,29,34,3060,34,44,1.29,143,99,70.6,10,29.4,2,2,0,0,0,19/20
Jannik Huth,de GER,GK,Paderborn 07,25,6,540,6,17,2.83,33,16,51.5,0,0,1,1,0,0,0,19/20
Rune Jarstein,no NOR,GK,Hertha BSC,34,29,2547,28.3,46,1.63,143,99,72.7,9,31,7,7,0,0,0,19/20
Florian Kastenmeier,de GER,GK,Düsseldorf,22,17,1530,17,31,1.82,78,49,62.8,2,11.8,3,2,1,0,33.3,19/20
Tomáš Koubek,cz CZE,GK,Augsburg,26,24,2160,24,51,2.12,122,72,58.2,4,16.7,1,0,1,0,100,19/20
Andreas Luthe,de GER,GK,Augsburg,32,10,900,10,12,1.2,33,22,63.6,3,30,0,0,0,0,0,19/20
Florian Müller,de GER,GK,Mainz 05,21,13,1125,12.5,25,2,66,40,65.2,2,16.7,3,2,1,0,33.3,19/20
Manuel Neuer,de GER,GK,Bayern Munich,33,33,2970,33,31,0.94,110,79,74.5,15,45.5,4,3,1,0,25,19/20
Alexander Nübel,de GER,GK,Schalke 04,22,26,2315,25.7,40,1.56,118,80,69.5,5,19.2,4,4,0,0,0,19/20
Jiří Pavlenka,cz CZE,GK,Werder Bremen,27,33,2970,33,67,2.03,169,105,60.9,4,12.1,1,1,0,0,0,19/20
Pavao Pervan,at AUT,GK,Wolfsburg,31,8,720,8,8,1,37,30,81.1,3,37.5,1,1,0,0,0,19/20
Frederik Rønnow,dk DEN,GK,Eint Frankfurt,26,9,810,9,14,1.56,49,35,75.5,1,11.1,2,2,0,0,0,19/20
Markus Schubert,de GER,GK,Schalke 04,21,9,742,8.2,18,2.18,55,37,70.9,2,25,2,2,0,0,0,19/20
Alexander Schwolow,de GER,GK,Freiburg,27,24,2091,23.2,32,1.38,118,86,75.4,4,16.7,3,3,0,0,0,19/20
Yann Sommer,ch SUI,GK,M'Gladbach,30,34,3060,34,40,1.18,158,117,75.3,7,20.6,2,1,1,0,50,19/20
Zack Steffen,us USA,GK,Düsseldorf,24,17,1530,17,36,2.12,99,63,64.6,2,11.8,2,1,1,0,50,19/20
Kevin Trapp,de GER,GK,Eint Frankfurt,29,22,1980,22,38,1.73,105,69,64.8,4,18.2,1,1,0,0,0,19/20
Robin Zentner,de GER,GK,Mainz 05,24,22,1935,21.5,40,1.86,115,75,66.1,3,13.6,2,1,1,0,50,19/20
Leopold Zingerle,de GER,GK,Paderborn 07,25,28,2520,28,57,2.04,152,96,64.5,5,17.9,4,3,1,0,25,19/20
Oliver Baumann,de GER,GK,Hoffenheim,30,31,2790,31,51,1.65,132,81,65.9,6,19.4,9,6,2,1,25,20/21
Roman Bürki,ch SUI,GK,Dortmund,29,19,1665,18.5,30,1.62,92,62,71.7,4,22.2,4,4,0,0,0,20/21
