Player,Nation,Pos,Squad,Age,MP,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%,Season
Sergio Álvarez,es ESP,GK,Celta Vigo,31,13,1170,13,22,1.69,58,37,65.5,2,15.4,2,2,0,0,0,18/19
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,11,990,11,11,1,33,22,66.7,2,18.2,0,0,0,0,0,18/19
Sergio Asenjo,es ESP,GK,Villarreal,29,32,2880,32,45,1.41,162,119,73.5,9,28.1,4,2,1,1,33.3,18/19
Rubén Blanco,es ESP,GK,Celta Vigo,23,25,2250,25,40,1.6,109,69,67,6,24,5,4,0,1,0,18/19
Yassine Bounou,ma MAR,GK,Girona,27,32,2862,31.8,43,1.35,166,124,77.7,8,25,6,6,0,0,0,18/19
Thibaut Courtois,be BEL,GK,Real Madrid,26,27,2430,27,36,1.33,104,67,71.2,8,29.6,8,6,1,1,14.3,18/19
Iván Cuéllar,es ESP,GK,Leganés,34,34,3056,33.9,38,1.12,115,78,68.7,9,26.5,2,2,0,0,0,18/19
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,24,21,1890,21,35,1.67,95,59,69.5,3,14.3,7,6,1,0,14.3,18/19
Marko Dmitrović,rs SRB,GK,Eibar,26,24,2160,24,30,1.25,86,55,68.6,5,20.8,4,3,1,0,25,18/19
Aitor Fernández,es ESP,GK,Levante,27,16,1440,16,24,1.5,83,60,75.9,2,12.5,4,4,0,0,0,18/19
Andrés Fernández,es ESP,GK,Villarreal,31,6,540,6,7,1.17,23,16,73.9,2,33.3,1,1,0,0,0,18/19
Alberto García,es ESP,GK,Rayo Vallecano,33,17,1530,17,35,2.06,87,50,60.9,4,23.5,4,1,3,0,75,18/19
Iago Herrerín,es ESP,GK,Athletic Club,30,31,2790,31,32,1.03,87,55,66.7,10,32.3,3,3,0,0,0,18/19
Gorka Iraizoz,es ESP,GK,Girona,37,7,558,6.2,10,1.61,39,30,79.5,1,16.7,2,2,0,0,0,18/19
Aleksandar Jovanović,rs SRB,GK,Huesca,25,12,1080,12,19,1.58,46,28,63,0,0,2,2,0,0,0,18/19
Diego López,es ESP,GK,Espanyol,36,38,3420,38,50,1.32,167,117,73.7,10,26.3,8,6,2,0,25,18/19
Pau López,es ESP,GK,Betis,23,33,2970,33,47,1.42,134,86,67.2,10,30.3,4,3,1,0,25,18/19
Andriy Lunin,ua UKR,GK,Leganés,19,5,364,4.1,5,1.24,19,13,78.9,2,50,2,1,1,0,50,18/19
Jordi Masip,es ESP,GK,Valladolid,29,35,3150,35,45,1.29,143,96,72,9,25.7,8,5,3,0,37.5,18/19
Keylor Navas,cr CRC,GK,Real Madrid,31,10,900,10,8,0.8,31,23,74.2,4,40,0,0,0,0,0,18/19
Neto,br BRA,GK,Valencia,29,34,3060,34,34,1,139,106,80.6,10,29.4,8,7,1,0,12.5,18/19
Jan Oblak,si SVN,GK,Atlético Madrid,25,37,3330,37,27,0.73,129,104,82.9,20,54.1,5,5,0,0,0,18/19
Oier Olazábal,es ESP,GK,Levante,28,21,1890,21,40,1.9,135,95,73.3,5,23.8,5,4,1,0,20,18/19
Fernando Pacheco,es ESP,GK,Alavés,26,35,3150,35,46,1.31,154,110,74,8,22.9,6,6,0,0,0,18/19
Asier Riesgo,es ESP,GK,Eibar,34,15,1260,14,20,1.43,46,27,56.5,4,28.6,0,0,0,0,0,18/19
Joel Robles,es ESP,GK,Betis,28,5,450,5,5,1,21,16,81,1,20,1,1,0,0,0,18/19
Gerónimo Rulli,ar ARG,GK,Real Sociedad,26,27,2430,27,35,1.3,109,75,69.7,7,25.9,3,2,1,0,33.3,18/19
Roberto Santamaría,es ESP,GK,Huesca,33,20,1800,20,30,1.5,96,67,75,6,30,6,6,0,0,0,18/19
Unai Simón,es ESP,GK,Athletic Club,21,7,630,7,13,1.86,33,20,66.7,0,0,2,2,0,0,0,18/19
David Soria,es ESP,GK,Getafe,25,37,3330,37,34,0.92,133,99,77.4,13,35.1,6,4,1,1,20,18/19
Marc-André ter Stegen,de GER,GK,Barcelona,26,35,3150,35,32,0.91,116,85,73.3,16,45.7,1,1,0,0,0,18/19
Tomáš Vaclík,cz CZE,GK,Sevilla,29,33,2970,33,44,1.33,143,98,72,8,24.2,5,4,1,0,20,18/19
Axel Werner,ar ARG,GK,Huesca,22,6,540,6,16,2.67,32,17,53.1,0,0,1,1,0,0,0,18/19
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,13,1170,13,16,1.23,51,36,68.6,3,23.1,1,0,0,1,0,19/20
Sergio Asenjo,es ESP,GK,Villarreal,30,34,3060,34,41,1.21,145,104,75.2,11,32.4,6,5,1,0,16.7,19/20
Rubén Blanco,es ESP,GK,Celta Vigo,24,33,2960,32.9,43,1.31,135,92,71.9,10,30.3,5,5,0,0,0,19/20
Yassine Bounou,ma MAR,GK,Sevilla,28,6,495,5.5,3,0.55,20,17,90,4,80,1,1,0,0,0,19/20
Jasper Cillessen,nl NED,GK,Valencia,30,24,2096,23.3,30,1.29,109,78,78,5,20.8,8,6,2,0,25,19/20
Thibaut Courtois,be BEL,GK,Real Madrid,27,34,3060,34,20,0.59,96,76,79.2,18,52.9,0,0,0,0,0,19/20
Iván Cuéllar,es ESP,GK,Leganés,35,27,2429,27,33,1.22,99,65,67.7,7,25.9,2,1,1,0,50,19/20
Marko Dmitrović,rs SRB,GK,Eibar,27,35,3150,35,51,1.46,122,71,61.5,10,28.6,5,4,1,0,20,19/20
Jaume Doménech,es ESP,GK,Valencia,28,15,1324,14.7,23,1.56,81,58,72.8,3,21.4,1,1,0,0,0,19/20
Aitor Fernández,es ESP,GK,Levante,28,36,3240,36,51,1.42,205,153,76.6,5,13.9,5,3,2,0,40,19/20
Sergio Herrera,es ESP,GK,Osasuna,26,19,1655,18.4,27,1.47,80,53,67.5,7,38.9,1,1,0,0,0,19/20
Iago Herrerín,es ESP,GK,Athletic Club,31,5,425,4.7,9,1.91,19,10,52.6,0,0,0,0,0,0,0,19/20
Diego López,es ESP,GK,Espanyol,37,36,3232,35.9,58,1.62,160,103,67.5,4,11.1,7,6,1,0,14.3,19/20
Daniel Martín,es ESP,GK,Betis,21,6,531,5.9,12,2.03,24,12,50,1,20,0,0,0,0,0,19/20
Jordi Masip,es ESP,GK,Valladolid,30,35,3150,35,39,1.11,125,85,73.6,11,31.4,7,6,1,0,14.3,19/20
Jan Oblak,si SVN,GK,Atlético Madrid,26,38,3395,37.7,27,0.72,111,87,78.4,17,44.7,4,3,0,1,0,19/20
Fernando Pacheco,es ESP,GK,Alavés,27,27,2358,26.2,37,1.41,102,62,71.6,6,22.2,11,8,3,0,27.3,19/20
Manolo Reina,es ESP,GK,Mallorca,34,36,3240,36,60,1.67,179,119,74.3,5,13.9,15,14,1,0,6.7,19/20
Álex Remiro,es ESP,GK,Real Sociedad,24,25,2250,25,32,1.28,93,60,73.1,6,24,8,7,1,0,12.5,19/20
Roberto,es ESP,GK,Alavés,33,9,790,8.8,19,2.16,54,35,70.4,2,25,3,3,0,0,0,19/20
Joel Robles,es ESP,GK,Betis,29,33,2887,32.1,48,1.5,130,83,71.5,5,15.2,11,11,0,0,0,19/20
Rubén,es ESP,GK,Osasuna,35,19,1583,17.6,24,1.36,54,30,61.1,4,22.2,3,3,0,0,0,19/20
Rui Silva,pt POR,GK,Granada,25,35,3150,35,42,1.2,142,99,73.2,12,34.3,5,4,1,0,20,19/20
Unai Simón,es ESP,GK,Athletic Club,22,34,2991,33.2,29,0.87,109,82,78,12,35.3,7,5,0,2,0,19/20
David Soria,es ESP,GK,Getafe,26,38,3420,38,37,0.97,109,73,70.6,15,39.5,6,5,1,0,16.7,19/20
Juan Soriano,es ESP,GK,Leganés,21,11,990,11,18,1.64,39,22,66.7,1,9.1,5,5,0,0,0,19/20
Marc-André ter Stegen,de GER,GK,Barcelona,27,36,3240,36,36,1,116,79,74.1,14,38.9,7,6,1,0,14.3,19/20
Tomáš Vaclík,cz CZE,GK,Sevilla,30,33,2925,32.5,31,0.95,96,65,69.8,12,36.4,3,2,1,0,33.3,19/20
Sergio Asenjo,es ESP,GK,Villarreal,31,36,3240,36,40,1.11,118,79,72,10,27.8,9,7,1,1,12.5,20/21
Édgar Badía,es ESP,GK,Elche,28,30,2700,30,46,1.53,141,92,70.9,5,16.7,9,5,3,1,37.5,20/21
Rubén Blanco,es ESP,GK,Celta Vigo,25,19,1637,18.2,27,1.48,61,34,57.4,4,21.1,1,1,0,0,0,20/21
Yassine Bounou,ma MAR,GK,Sevilla,29,33,2970,33,28,0.85,106,78,77.4,15,45.5,6,4,2,0,33.3,20/21
Claudio Bravo,cl CHI,GK,Betis,37,20,1800,20,25,1.25,75,50,72,7,35,5,4,1,0,20,20/21
Cárdenas,es ESP,GK,Levante,23,8,720,8,11,1.37,39,28,71.8,1,12.5,1,0,0,1,0,20/21
Jasper Cillessen,nl NED,GK,Valencia,31,10,900,10,11,1.1,45,33,77.8,3,30,2,1,1,0,50,20/21
Thibaut Courtois,be BEL,GK,Real Madrid,28,38,3420,38,28,0.74,116,88,81.9,17,44.7,8,7,1,0,12.5,20/21
Marko Dmitrović,rs SRB,GK,Eibar,28,35,3120,34.7,49,1.41,129,79,64.3,9,25.7,5,3,1,1,25,20/21
Jaume Doménech,es ESP,GK,Valencia,29,28,2520,28,42,1.5,130,88,70.8,4,14.3,6,4,2,0,33.3,20/21
Aarón Escandell,es ESP,GK,Granada,24,5,450,5,8,1.6,24,16,66.7,1,20,0,0,0,0,0,20/21
Aitor Fernández,es ESP,GK,Levante,29,29,2610,29,44,1.52,120,78,65.8,3,10.3,3,3,0,0,0,20/21
Álvaro Fernández,es ESP,GK,Huesca,22,22,1980,22,32,1.45,95,64,68.4,5,22.7,2,2,0,0,0,20/21
Andrés Fernández,es ESP,GK,Huesca,33,16,1440,16,21,1.31,54,34,66.7,4,25,3,3,0,0,0,20/21
Paulo Gazzaniga,ar ARG,GK,Elche,28,8,720,8,9,1.13,22,14,63.6,2,25,1,1,0,0,0,20/21
Sergio Herrera,es ESP,GK,Osasuna,27,33,2958,32.9,40,1.22,126,86,71.4,10,31.3,7,4,2,1,33.3,20/21
Jeremías Ledesma,ar ARG,GK,Cádiz,27,32,2880,32,45,1.41,127,82,70.9,9,28.1,9,8,1,0,11.1,20/21
Jordi Masip,es ESP,GK,Valladolid,31,25,2250,25,40,1.6,115,75,68.7,2,8,4,4,0,0,0,20/21
Neto,br BRA,GK,Barcelona,31,7,630,7,6,0.86,24,18,83.3,3,42.9,2,2,0,0,0,20/21
Jan Oblak,si SVN,GK,Atlético Madrid,27,38,3420,38,25,0.66,122,98,80.3,18,47.4,4,1,2,1,66.7,20/21
Fernando Pacheco,es ESP,GK,Alavés,28,38,3349,37.2,57,1.53,141,84,61.7,9,24.3,3,3,0,0,0,20/21
Álex Remiro,es ESP,GK,Real Sociedad,25,38,3420,38,38,1,105,67,66.7,14,36.8,5,3,1,1,25,20/21
Roberto,es ESP,GK,Valladolid,34,13,1170,13,17,1.31,46,29,67.4,1,7.7,3,2,0,1,0,20/21
Joel Robles,es ESP,GK,Betis,30,18,1620,18,25,1.39,61,37,65.6,6,33.3,5,4,1,0,20,20/21
Rui Silva,pt POR,GK,Granada,26,32,2880,32,55,1.72,137,79,63.5,8,25,10,5,4,1,44.4,20/21
Unai Simón,es ESP,GK,Athletic Club,23,37,3330,37,40,1.08,108,68,67.6,9,24.3,6,5,1,0,16.7,20/21
