Player,Nation,Pos,Squad,Age,MP,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%,Season
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,23,25,2250,25,43,1.72,99,56,58.6,5,20,2,2,0,0,0,18/19
Bobby Allain,fr FRA,GK,Dijon,26,13,1170,13,17,1.31,72,56,77.8,1,7.7,1,1,0,0,0,18/19
Alphonse Areola,fr FRA,GK,Paris S-G,25,21,1890,21,17,0.81,66,50,80.3,11,52.4,4,4,0,0,0,18/19
Diego Benaglio,ch SUI,GK,Monaco,34,23,2057,22.9,38,1.66,96,57,63.5,4,18.2,5,3,2,0,40,18/19
Walter Benítez,ar ARG,GK,Nice,25,35,3150,35,29,0.83,143,112,81.1,16,45.7,5,2,3,0,60,18/19
Paul Bernardoni,fr FRA,GK,Nîmes,21,38,3420,38,58,1.53,180,122,70,10,26.3,5,4,1,0,20,18/19
Gianluigi Buffon,it ITA,GK,Paris S-G,40,17,1530,17,18,1.06,65,49,73.8,6,35.3,2,1,1,0,50,18/19
Ludovic Butelle,fr FRA,GK,Angers,35,36,3239,36,48,1.33,161,113,72,11,30.6,5,3,2,0,40,18/19
Marc-Aurèle Caillard,fr FRA,GK,Guingamp,24,21,1890,21,34,1.62,93,58,64.5,6,28.6,2,1,1,0,50,18/19
Benoît Costil,fr FRA,GK,Bordeaux,31,37,3330,37,42,1.14,152,109,76.3,9,24.3,7,6,1,0,14.3,18/19
Abdoulaye Diallo,sn SEN,GK,Rennes,26,6,495,5.5,4,0.73,20,16,85,2,33.3,1,1,0,0,0,18/19
Maxime Dupé,fr FRA,GK,Nantes,25,11,939,10.4,17,1.63,34,16,55.9,1,10,3,2,1,0,33.3,18/19
Mauro Goicoechea,uy URU,GK,Toulouse,30,8,712,7.9,12,1.52,35,23,68.6,3,42.9,1,1,0,0,0,18/19
Régis Gurtner,fr FRA,GK,Amiens,31,38,3420,38,52,1.37,166,114,72.3,11,28.9,9,6,2,1,25,18/19
Karl-Johan Johnsson,se SWE,GK,Guingamp,28,17,1530,17,34,2,78,43,59,4,23.5,4,2,1,1,33.3,18/19
Tomáš Koubek,cz CZE,GK,Rennes,25,33,2925,32.5,48,1.48,138,90,67.4,9,28.1,4,3,1,0,25,18/19
