Player,Nation,Pos,Squad,Age,MP,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%,Season
Alisson,br BRA,GK,Liverpool,25,38,3420,38,22,0.58,96,74,77.1,21,55.3,1,0,0,1,0,18/19
Kepa Arrizabalaga,es ESP,GK,Chelsea,23,36,3240,36,39,1.08,121,81,68.6,14,38.9,2,1,1,0,50,18/19
Asmir Begović,ba BIH,GK,Bournemouth,31,24,2160,24,47,1.96,104,59,56.7,5,20.8,2,2,0,0,0,18/19
Marcus Bettinelli,eng ENG,GK,Fulham,26,7,630,7,20,2.86,40,19,52.5,0,0,3,1,1,1,50,18/19
Artur Boruc,pl POL,GK,Bournemouth,38,12,1080,12,18,1.5,56,38,73.2,4,33.3,3,3,0,0,0,18/19
Petr Čech,cz CZE,GK,Arsenal,36,7,585,6.5,9,1.38,37,28,75.7,1,14.3,0,0,0,0,0,18/19
Martin Dúbravka,sk SVK,GK,Newcastle Utd,29,38,3420,38,48,1.26,140,93,70,11,28.9,6,6,0,0,0,18/19
Ederson,br BRA,GK,Manchester City,24,38,3420,38,23,0.61,81,58,76.5,20,52.6,4,4,0,0,0,18/19
Neil Etheridge,ph PHI,GK,Cardiff City,28,38,3420,38,69,1.82,207,135,68.6,10,26.3,7,4,3,0,42.9,18/19
Łukasz Fabiański,pl POL,GK,West Ham,33,38,3420,38,55,1.45,198,143,74.2,7,18.4,5,4,1,0,20,18/19
Ben Foster,eng ENG,GK,Watford,35,38,3420,38,59,1.55,180,123,69.4,7,18.4,5,4,1,0,20,18/19
David de Gea,es ESP,GK,Manchester Utd,27,38,3420,38,54,1.42,171,120,71.9,7,18.4,6,6,0,0,0,18/19
Vicente Guaita,es ESP,GK,Crystal Palace,31,20,1755,19.5,23,1.18,85,63,74.1,7,35,1,1,0,0,0,18/19
Angus Gunn,sct SCO,GK,Southampton,22,12,1080,12,18,1.5,50,31,64,3,25,1,0,1,0,100,18/19
Ben Hamer,eng ENG,GK,Huddersfield,30,7,553,6.1,21,3.42,42,22,57.1,0,0,3,3,0,0,0,18/19
Joe Hart,eng ENG,GK,Burnley,31,19,1710,19,41,2.16,116,75,65.5,4,21.1,2,1,1,0,50,18/19
Tom Heaton,eng ENG,GK,Burnley,32,19,1710,19,27,1.42,83,59,68.7,4,21.1,1,1,0,0,0,18/19
Wayne Hennessey,wls WAL,GK,Crystal Palace,31,18,1575,17.5,26,1.49,69,42,66.7,5,29.4,4,3,1,0,25,18/19
Bernd Leno,de GER,GK,Arsenal,26,32,2835,31.5,42,1.33,145,104,75.9,7,22.6,7,7,0,0,0,18/19
Hugo Lloris,fr FRA,GK,Tottenham,31,33,2970,33,33,1,130,98,76.9,12,36.4,5,3,2,0,40,18/19
Jonas Lössl,dk DEN,GK,Huddersfield,29,31,2777,30.9,54,1.75,141,86,64.5,5,16.7,5,4,1,0,20,18/19
Alex McCarthy,eng ENG,GK,Southampton,28,25,2250,25,44,1.76,119,78,64.7,4,16,2,2,0,0,0,18/19
Rui Patrício,pt POR,GK,Wolves,30,37,3330,37,46,1.24,138,96,68.8,7,18.9,4,3,0,1,0,18/19
Jordan Pickford,eng ENG,GK,Everton,24,38,3420,38,46,1.21,136,89,67.6,14,36.8,5,2,3,0,60,18/19
